# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Copyright 2011, 2014 (C) Quranic Arabic Corpus (morphology, version 0.5)
#  Kais Dukes, sckd@leeds.ac.uk
#  License: GNU General Public License
#
#  The Quranic Arabic Corpus includes syntactic and morphological
#  annotation of the Quran, and builds on the verified Arabic text
#  distributed by the Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this file, but CHANGING IT IS NOT ALLOWED.
#
#  - This annotation can be used in any website or application,
#    provided its source (the Quranic Arabic Corpus) is clearly
#    indicated, and a link is made to http://corpus.quran.com to enable
#    users to keep track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all works
#    derived from or containing substantial portion of this file.
#
#  Please check updates at: http://corpus.quran.com/download

# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Tanzil Quran Text (Uthmani, version 1.0.2)
#  Copyright (C) 2008-2009 Tanzil.info
#  License: Creative Commons BY-ND 3.0 Unported
#
#  This copy of quran text is carefully produced, highly
#  verified and continuously monitored by a group of specialists
#  at Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this text, but CHANGING IT IS NOT ALLOWED.
#
#  - This quran text can be used in any website or application,
#    provided its source (Tanzil.info) is clearly indicated, and
#    a link is made to http://tanzil.info to enable users to keep
#    track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all files
#    derived from or containing substantial portion of this text.
#
#  Please check updates at: http://tanzil.info/updates/
#
#====================================================================

ChapterNo,VerseNo,TokenNo,SegmentNo,Segment,Lemma,Root
1,1,1,1,bi,b,
1,1,1,2,s'mi,is'm,smū
1,1,2,1,allahi,allah,lh
1,1,3,1,al,,
1,1,3,2,raḥmāni,raḥmān,rḥm
1,1,4,1,al,,
1,1,4,2,raḥīmi,raḥīm,rḥm
1,2,1,1,al,,
1,2,1,2,ḥamdu,ḥamd,ḥmd
1,2,2,1,li,l,
1,2,2,2,lahi,allah,lh
1,2,3,1,rabbi,rabb,rbb
1,2,4,1,al,,
1,2,4,2,ʿālamīna,ʿālamīn,ʿlm
1,3,1,1,al,,
1,3,1,2,raḥmāni,raḥmān,rḥm
1,3,2,1,al,,
1,3,2,2,raḥīmi,raḥīm,rḥm
1,4,1,1,māliki,mālik,mlk
1,4,2,1,yawmi,yawm,īūm
1,4,3,1,al,,
1,4,3,2,dīni,dīn,dīn
1,5,1,1,iyyāka,iyyā,
1,5,2,1,naʿbudu,ʿabada,ʿbd
1,5,3,1,wa,,
1,5,3,2,iyyāka,iyyā,
1,5,4,1,nastaʿīnu,is'taʿīnu,ʿūn
1,6,1,1,ih'di,hadā,hdī
1,6,1,2,nā,,
1,6,2,1,al,,
1,6,2,2,ṣirāṭa,ṣirāṭ,ṣrṭ
1,6,3,1,al,,
1,6,3,2,mus'taqīma,mus'taqīm,qūm
1,7,1,1,ṣirāṭa,ṣirāṭ,ṣrṭ
1,7,2,1,alladhīna,alladhī,
1,7,3,1,anʿam,anʿama,nʿm
1,7,3,2,ta,,
1,7,4,1,ʿalay,ʿalā,
1,7,4,2,him,,
1,7,5,1,ghayri,ghayr,ghīr
1,7,6,1,al,,
1,7,6,2,maghḍūbi,maghḍūb,ghḍb
1,7,7,1,ʿalay,ʿalā,
1,7,7,2,him,,
1,7,8,1,wa,,
1,7,8,2,lā,lā,
1,7,9,1,al,,
1,7,9,2,ḍāllīna,ḍāll,ḍll
2,1,1,1,lm,,
2,2,1,1,dhālika,dhālik,
2,2,2,1,al,,
2,2,2,2,kitābu,kitāb,ktb
2,2,3,1,lā,lā,
2,2,4,1,rayba,rayb,rīb
2,2,5,1,fī,fī,
2,2,5,2,hi,,
2,2,6,1,hudan,hudan,hdī
2,2,7,1,li,l,
2,2,7,2,l,,
2,2,7,3,muttaqīna,muttaqīn,qī
2,3,1,1,alladhīna,alladhī,
2,3,2,1,yu'minu,āmana,mn
2,3,2,2,na,,
2,3,3,1,bi,b,
2,3,3,2,al,,
2,3,3,3,ghaybi,ghayb,ghīb
2,3,4,1,wa,,
2,3,4,2,yuqīmu,aqāma,qūm
2,3,4,3,na,,
2,3,5,1,al,,
2,3,5,2,ṣalata,ṣalat,ṣlū
2,3,6,1,wa,,
2,3,6,2,mi,min,
2,3,6,3,mā,mā,
2,3,7,1,razaq,razaqa,rzq
2,3,7,2,nā,,
2,3,7,3,hum,,
2,3,8,1,yunfiqu,anfaqa,nfq
2,3,8,2,na,,
2,4,1,1,wa,,
2,4,1,2,alladhīna,alladhī,
2,4,2,1,yu'minu,āmana,mn
2,4,2,2,na,,
2,4,3,1,bi,b,
2,4,3,2,mā,mā,
2,4,4,1,unzila,anzala,nzl
2,4,5,1,ilay,ilā,
2,4,5,2,ka,,
2,4,6,1,wa,,
2,4,6,2,mā,mā,
2,4,7,1,unzila,anzala,nzl
2,4,8,1,min,min,
2,4,9,1,qabli,qabl,qbl
2,4,9,2,ka,,
2,4,10,1,wa,,
2,4,10,2,bi,b,
2,4,10,3,al,,
2,4,10,4,ākhirati,ākhir,khr
2,4,11,1,hum,,
2,4,12,1,yūqinu,yūqinu,īqn
2,4,12,2,na,,
2,5,1,1,ulāika,ūlāik,
2,5,2,1,ʿalā,ʿalā,
2,5,3,1,hudan,hudan,hdī
2,5,4,1,min,min,
2,5,5,1,rabbi,rabb,rbb
2,5,5,2,him,,
2,5,6,1,wa,,
2,5,6,2,ulāika,ūlāik,
2,5,7,1,humu,,
2,5,8,1,al,,
2,5,8,2,muf'liḥūna,muf'liḥūn,flḥ
2,6,1,1,inna,inn,
2,6,2,1,alladhīna,alladhī,
2,6,3,1,kafaru,kafara,kfr
2,6,3,2,w,,
2,6,4,1,sawāon,sawā,sūī
2,6,5,1,ʿalay,ʿalā,
2,6,5,2,him,,
2,6,6,1,a,,
2,6,6,2,andhar,andhara,ndhr
2,6,6,3,ta,,
2,6,6,4,hum,,
2,6,7,1,am,am,
2,6,8,1,lam,lam,
2,6,9,1,tundhir,andhara,ndhr
2,6,9,2,hum,,
2,6,10,1,lā,lā,
2,6,11,1,yu'minu,āmana,mn
2,6,11,2,na,,
2,7,1,1,khatama,khatama,khtm
2,7,2,1,allahu,allah,lh
2,7,3,1,ʿalā,ʿalā,
2,7,4,1,qulūbi,qalb,qlb
2,7,4,2,him,,
2,7,5,1,wa,,
2,7,5,2,ʿalā,ʿalā,
2,7,6,1,samʿi,samʿ,smʿ
2,7,6,2,him,,
2,7,7,1,wa,,
2,7,7,2,ʿalā,ʿalā,
2,7,8,1,abṣāri,baṣar,bṣr
2,7,8,2,him,,
2,7,9,1,ghishāwatun,ghishāwat,ghshū
2,7,10,1,wa,,
2,7,10,2,la,l,
2,7,10,3,hum,,
2,7,11,1,ʿadhābun,ʿadhāb,ʿdhb
2,7,12,1,ʿaẓīmun,ʿaẓīm,ʿẓm
2,8,1,1,wa,,
2,8,1,2,mina,min,
2,8,2,1,al,,
2,8,2,2,nāsi,nās,nūs
2,8,3,1,man,man,
2,8,4,1,yaqūlu,qāla,qūl
2,8,5,1,āma,āmana,mn
2,8,5,2,nā,,
2,8,6,1,bi,b,
2,8,6,2,allahi,allah,lh
2,8,7,1,wa,,
2,8,7,2,bi,b,
2,8,7,3,al,,
2,8,7,4,yawmi,yawm,īūm
2,8,8,1,al,,
2,8,8,2,ākhiri,ākhir,khr
2,8,9,1,wa,,
2,8,9,2,mā,mā,
2,8,10,1,hum,,
2,8,11,1,bi,b,
2,8,11,2,mu'minīna,mu'min,mn
2,9,1,1,yukhādiʿu,yukhādiʿu,khdʿ
2,9,1,2,na,,
2,9,2,1,allaha,allah,lh
2,9,3,1,wa,,
2,9,3,2,alladhīna,alladhī,
2,9,4,1,āmanu,āmana,mn
2,9,4,2,w,,
2,9,5,1,wa,,
2,9,5,2,mā,mā,
2,9,6,1,yakhdaʿu,yakhdaʿu,khdʿ
2,9,6,2,na,,
2,9,7,1,illā,illā,
2,9,8,1,anfusa,nafs,nfs
2,9,8,2,hum,,
2,9,9,1,wa,,
2,9,9,2,mā,mā,
2,9,10,1,yashʿuru,yashʿuru,shʿr
2,9,10,2,na,,
2,10,1,1,fī,fī,
2,10,2,1,qulūbi,qalb,qlb
2,10,2,2,him,,
2,10,3,1,maraḍun,maraḍ,mrḍ
2,10,4,1,fa,f,
2,10,4,2,zāda,zāda,zīd
2,10,4,3,humu,,
2,10,5,1,allahu,allah,lh
2,10,6,1,maraḍan,maraḍ,mrḍ
2,10,7,1,wa,,
2,10,7,2,la,l,
2,10,7,3,hum,,
2,10,8,1,ʿadhābun,ʿadhāb,ʿdhb
2,10,9,1,alīmun,alīm,lm
2,10,10,1,bi,b,
2,10,10,2,mā,mā,
2,10,11,1,kānu,kāna,kūn
2,10,11,2,w,,
